energy_GeV,fit,pull_category,jet,variable,branch,stage,selection,selected_events,visible_fills,hist_mean,hist_rms,gaussian_mu,gaussian_mu_error,gaussian_sigma,gaussian_sigma_error,gaussian_fit_status,gaussian_chi2_ndf
240.0,4C,pull4C_standard,2,theta,pull4C_standard_theta_j2,before,pull4C_standard_valid > 0.5,45815,35865,0.016143056372158127,1.6391335994085896,0.017601644886554156,0.00672088482626106,1.1309204404207573,0.008036757961209728,4000,37.3481185256945
240.0,4C,pull4C_standard,2,theta,pull4C_standard_theta_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,0.016881544086849047,1.0335429034315275,0.01962759186837953,0.006088167288692579,0.9958613859149592,0.006732301526246098,4000,25.789783679003257
240.0,4C,pull4C_standard,2,phi,pull4C_standard_phi_j2,before,pull4C_standard_valid > 0.5,45815,37524,-0.016900323215991248,1.5915362593170388,-0.009942979407280419,0.006413379171173117,1.1118346023423724,0.007575019458705645,4000,39.294145084076376
240.0,4C,pull4C_standard,2,phi,pull4C_standard_phi_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.007909283762906356,0.9864457932801162,-0.0038841597530867643,0.005707322351048707,0.9378614897882733,0.006245994424919132,4000,26.091891329725154
240.0,4C,pull4C_standard,2,x,pull4C_standard_x_j2,before,pull4C_standard_valid > 0.5,45815,40739,-0.2786891484666968,1.226507126594229,-0.16684117983174312,0.0038440549196065163,0.6799658537731178,0.005802376525349817,4000,95.95165598988582
240.0,4C,pull4C_standard,2,x,pull4C_standard_x_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.2029710792466521,0.6631861453453527,-0.16414855190027922,0.0033929910348036232,0.5309794231572389,0.0045002200122895575,4000,54.941752029111605
240.0,4C,pull4C_final,2,alpha,pull4C_final_alpha_j2,before,pull4C_final_valid > 0.5,45815,44538,-0.27474095167785745,0.9764409468163953,-0.19406904235036804,0.003244444076933968,0.6104759542793365,0.0044459261841801045,4000,91.72548767406437
240.0,4C,pull4C_final,2,alpha,pull4C_final_alpha_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.21689681734859942,0.6894426053381011,-0.18081885433732822,0.0030730712985971367,0.5596550112227452,0.004029476921541708,4000,70.22185109963743
240.0,4C,pull4C_final,2,theta,pull4C_final_theta_j2,before,pull4C_final_valid > 0.5,45815,44025,0.01603928195424994,1.283781583954726,0.013647220347199772,0.0052701979105396,1.032584487995778,0.006126224131653091,4000,45.58563753055445
240.0,4C,pull4C_final,2,theta,pull4C_final_theta_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,0.01184133147988185,0.9898935052114564,0.01490179821261952,0.004952523930178387,0.9443611080730338,0.005563560381580457,4000,36.41692987670824
240.0,4C,pull4C_final,2,phi,pull4C_final_phi_j2,before,pull4C_final_valid > 0.5,45815,43574,-0.0071985758371849295,1.3257086883176254,-0.00422970510068103,0.005121959617821317,0.9956081865050826,0.006010189161992363,4000,46.90817472858858
240.0,4C,pull4C_final,2,phi,pull4C_final_phi_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.005050781125932465,0.9821355325444507,-0.0021676332527473057,0.004892943449690111,0.9332906701816681,0.0054724794333173565,4000,36.799580642175066
240.0,4C,pull4C_final,2,x,pull4C_final_x_j2,before,pull4C_final_valid > 0.5,45815,44539,-0.25716417122855945,0.9796565765348366,-0.18117766682804287,0.0032441072459289118,0.6143062715793876,0.004459432176498912,4000,90.93360326736367
240.0,4C,pull4C_final,2,x,pull4C_final_x_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.2057130892461376,0.6905457465334134,-0.1704971277682337,0.0030746538571005738,0.5628885540664853,0.004023065616461263,4000,69.09462056580347
240.0,5C,pull5C_standard,2,alpha,pull5C_standard_alpha_j2,before,pull5C_standard_valid > 0.5,45771,32597,-0.15893924440590212,2.012826669871705,-0.1552663523292479,0.010797830024486756,1.522503577969557,0.013143099522407664,4000,16.80262281168562
240.0,5C,pull5C_standard,2,alpha,pull5C_standard_alpha_j2,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.179363727960505,0.6421970081407486,-0.1615029456887392,0.00967683974384682,0.5589300516021848,0.011342882498232176,4000,5.37353344312492
240.0,5C,pull5C_standard,2,theta,pull5C_standard_theta_j2,before,pull5C_standard_valid > 0.5,45771,8861,0.01383459165031701,2.774901480017624,0.020794357093470398,0.1908990742742426,4.908692779277961,0.6101797069337125,4000,1.0034638256325974
240.0,5C,pull5C_standard,2,theta,pull5C_standard_theta_j2,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,0.013750350506996824,1.7207706723442302,-0.07706634506708748,0.07170742345936694,2.5449255455342983,0.11291899634552083,4000,1.0687789781297652
240.0,5C,pull5C_standard,2,phi,pull5C_standard_phi_j2,before,pull5C_standard_valid > 0.5,45771,9413,-0.009203110323660304,2.7508616147290508,-0.11486824700437699,0.15241756984848867,4.431008437583028,0.4322859083185677,4000,1.1480862038095827
240.0,5C,pull5C_standard,2,phi,pull5C_standard_phi_j2,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.028822022460940774,1.6620402229178313,-0.040420323525033094,0.061244191438983166,2.357517482343467,0.08893943485057632,4000,1.2637797113308453
240.0,5C,pull5C_standard,2,x,pull5C_standard_x_j2,before,pull5C_standard_valid > 0.5,45771,21586,-0.17866517135361318,2.2943122993828644,-0.22793111745195282,0.02025421073603528,1.9316571827297615,0.027906070263057803,4000,5.814216509950572
